severity	updateDate	comments	line	author	rule	project	effort	message	creationDate	type	quickFixAvailable	branch	tags	component	flows	scope	textRange	debt	key	hash	status
MAJOR	2023-08-11T15:38:41+0000		46.0		python:S125	Metadata_Framework	5min	Remove this commented out code.	2023-08-11T15:38:41+0000	CODE_SMELL	false	test	"unused / "	Metadata_Framework:mdf/mdf_batch_processing.py		MAIN	{startLine=46.0, endLine=46.0, startOffset=0.0, endOffset=11.0}	5min	AYnlQNkX5AMBGlO_4zJH	de7228887a1d2986f242c44cb1da3e04	OPEN
MAJOR	2023-08-11T15:38:41+0000		56.0		python:S125	Metadata_Framework	5min	Remove this commented out code.	2023-08-11T15:38:41+0000	CODE_SMELL	false	test	"unused / "	Metadata_Framework:mdf/mdf_batch_processing.py		MAIN	{startLine=56.0, endLine=56.0, startOffset=0.0, endOffset=11.0}	5min	AYnlQNkY5AMBGlO_4zJI	de7228887a1d2986f242c44cb1da3e04	OPEN
MAJOR	2023-08-11T15:38:41+0000		129.0		python:S125	Metadata_Framework	5min	Remove this commented out code.	2023-08-11T15:38:41+0000	CODE_SMELL	false	test	"unused / "	Metadata_Framework:mdf/mdf_batch_processing.py		MAIN	{startLine=129.0, endLine=129.0, startOffset=0.0, endOffset=11.0}	5min	AYnlQNkY5AMBGlO_4zJK	de7228887a1d2986f242c44cb1da3e04	OPEN
MAJOR	2023-08-11T15:38:41+0000		75.0		python:S125	Metadata_Framework	5min	Remove this commented out code.	2023-08-11T15:38:41+0000	CODE_SMELL	false	test	"unused / "	Metadata_Framework:mdf/mdf_data_enrichment.py		MAIN	{startLine=75.0, endLine=75.0, startOffset=0.0, endOffset=11.0}	5min	AYnlQNg35AMBGlO_4zI4	de7228887a1d2986f242c44cb1da3e04	OPEN
MAJOR	2023-08-11T15:38:41+0000		89.0		python:S125	Metadata_Framework	5min	Remove this commented out code.	2023-08-11T15:38:41+0000	CODE_SMELL	false	test	"unused / "	Metadata_Framework:mdf/mdf_data_enrichment.py		MAIN	{startLine=89.0, endLine=89.0, startOffset=0.0, endOffset=11.0}	5min	AYnlQNg35AMBGlO_4zI5	de7228887a1d2986f242c44cb1da3e04	OPEN
MAJOR	2023-08-11T15:38:41+0000		109.0		python:S125	Metadata_Framework	5min	Remove this commented out code.	2023-08-11T15:38:41+0000	CODE_SMELL	false	test	"unused / "	Metadata_Framework:mdf/mdf_data_enrichment.py		MAIN	{startLine=109.0, endLine=109.0, startOffset=0.0, endOffset=11.0}	5min	AYnlQNg35AMBGlO_4zI7	de7228887a1d2986f242c44cb1da3e04	OPEN
MAJOR	2023-08-11T15:38:41+0000		191.0		python:S125	Metadata_Framework	5min	Remove this commented out code.	2023-08-11T15:38:41+0000	CODE_SMELL	false	test	"unused / "	Metadata_Framework:mdf/mdf_data_enrichment.py		MAIN	{startLine=191.0, endLine=191.0, startOffset=0.0, endOffset=11.0}	5min	AYnlQNg45AMBGlO_4zI8	de7228887a1d2986f242c44cb1da3e04	OPEN
MAJOR	2023-08-11T15:38:41+0000		233.0		python:S125	Metadata_Framework	5min	Remove this commented out code.	2023-08-11T15:38:41+0000	CODE_SMELL	false	test	"unused / "	Metadata_Framework:mdf/mdf_data_enrichment.py		MAIN	{startLine=233.0, endLine=233.0, startOffset=0.0, endOffset=11.0}	5min	AYnlQNg45AMBGlO_4zI9	de7228887a1d2986f242c44cb1da3e04	OPEN
MAJOR	2023-08-11T15:38:41+0000		328.0		python:S125	Metadata_Framework	5min	Remove this commented out code.	2023-08-11T15:38:41+0000	CODE_SMELL	false	test	"unused / "	Metadata_Framework:mdf/mdf_data_enrichment.py		MAIN	{startLine=328.0, endLine=328.0, startOffset=0.0, endOffset=11.0}	5min	AYnlQNg45AMBGlO_4zI-	de7228887a1d2986f242c44cb1da3e04	OPEN
MAJOR	2023-08-11T15:38:41+0000		377.0		python:S125	Metadata_Framework	5min	Remove this commented out code.	2023-08-11T15:38:41+0000	CODE_SMELL	false	test	"unused / "	Metadata_Framework:mdf/mdf_data_enrichment.py		MAIN	{startLine=377.0, endLine=377.0, startOffset=0.0, endOffset=11.0}	5min	AYnlQNg45AMBGlO_4zI_	de7228887a1d2986f242c44cb1da3e04	OPEN
